time_ms,vin_v,vgate_v,vsw_v,vout_v,pwm_state
0.000000,24.000000,0.000000,0.000000,0.000000,0
0.010000,24.000000,0.000000,0.000000,0.000000,0
0.020000,24.000000,0.000000,0.000000,0.000000,0
0.030000,24.000000,0.000000,0.000000,0.000000,0
0.040000,24.000000,0.000000,0.000000,0.000000,0
0.050000,24.000000,0.000000,0.000000,0.000000,0
0.060000,24.000000,0.000000,0.000000,0.000000,0
0.070000,24.000000,0.000000,0.000000,0.000000,0
0.080000,24.000000,0.000000,0.000000,0.000000,0
0.090000,24.000000,0.000000,0.000000,0.000000,0
0.100000,24.000000,0.000000,0.000000,0.000000,0
0.110000,24.000000,0.000000,0.000000,0.000000,0
0.120000,24.000000,0.000000,0.000000,0.000000,0
0.130000,24.000000,0.000000,0.000000,0.000000,0
0.140000,24.000000,0.000000,0.000000,0.000000,0
0.150000,24.000000,0.000000,0.000000,0.000000,0
0.160000,24.000000,0.000000,0.000000,0.000000,0
0.170000,24.000000,0.000000,0.000000,0.000000,0
0.180000,24.000000,0.000000,0.000000,0.000000,0
0.190000,24.000000,0.000000,0.000000,0.000000,0
0.200000,24.000000,0.000000,0.000000,0.000000,0
0.210000,24.000000,0.000000,0.000000,0.000000,0
0.220000,24.000000,0.000000,0.000000,0.000000,0
0.230000,24.000000,0.000000,0.000000,0.000000,0
0.240000,24.000000,0.000000,0.000000,0.000000,0
0.250000,24.000000,0.000000,0.000000,0.000000,0
0.260000,24.000000,0.000000,0.000000,0.000000,0
0.270000,24.000000,0.000000,0.000000,0.000000,0
0.280000,24.000000,0.000000,0.000000,0.000000,0
0.290000,24.000000,0.000000,0.000000,0.000000,0
0.300000,24.000000,0.000000,0.000000,0.000000,0
0.310000,24.000000,0.000000,0.000000,0.000000,0
0.320000,24.000000,0.000000,0.000000,0.000000,0
0.330000,24.000000,0.000000,0.000000,0.000000,0
0.340000,24.000000,0.000000,0.000000,0.000000,0
0.350000,24.000000,0.000000,0.000000,0.000000,0
0.360000,24.000000,0.000000,0.000000,0.000000,0
0.370000,24.000000,0.000000,0.000000,0.000000,0
0.380000,24.000000,0.000000,0.000000,0.000000,0
0.390000,24.000000,0.000000,0.000000,0.000000,0
0.400000,24.000000,0.000000,0.000000,0.000000,0
0.410000,24.000000,0.000000,0.000000,0.000000,0
0.420000,24.000000,0.000000,0.000000,0.000000,0
0.430000,24.000000,0.000000,0.000000,0.000000,0
0.440000,24.000000,0.000000,0.000000,0.000000,0
0.450000,24.000000,0.000000,0.000000,0.000000,0
0.460000,24.000000,0.000000,0.000000,0.000000,0
0.470000,24.000000,0.000000,0.000000,0.000000,0
0.480000,24.000000,0.000000,0.000000,0.000000,0
0.490000,24.000000,0.000000,0.000000,0.000000,0
0.500000,24.000000,0.000000,0.000000,0.000000,0
0.510000,24.000000,0.000000,0.000000,0.000000,0
0.520000,24.000000,0.000000,0.000000,0.000000,0
0.530000,24.000000,0.000000,0.000000,0.000000,0
0.540000,24.000000,0.000000,0.000000,0.000000,0
0.550000,24.000000,0.000000,0.000000,0.000000,0
0.560000,24.000000,0.000000,0.000000,0.000000,0
0.570000,24.000000,0.000000,0.000000,0.000000,0
0.580000,24.000000,0.000000,0.000000,0.000000,0
0.590000,24.000000,0.000000,0.000000,0.000000,0
0.600000,24.000000,0.000000,0.000000,0.000000,0
0.610000,24.000000,0.000000,0.000000,0.000000,0
0.620000,24.000000,0.000000,0.000000,0.000000,0
0.630000,24.000000,0.000000,0.000000,0.000000,0
0.640000,24.000000,0.000000,0.000000,0.000000,0
0.650000,24.000000,0.000000,0.000000,0.000000,0
0.660000,24.000000,0.000000,0.000000,0.000000,0
0.670000,24.000000,0.000000,0.000000,0.000000,0
0.680000,24.000000,0.000000,0.000000,0.000000,0
0.690000,24.000000,0.000000,0.000000,0.000000,0
0.700000,24.000000,0.000000,0.000000,0.000000,0
0.710000,24.000000,0.000000,0.000000,0.000000,0
0.720000,24.000000,0.000000,0.000000,0.000000,0
0.730000,24.000000,0.000000,0.000000,0.000000,0
0.740000,24.000000,0.000000,0.000000,0.000000,0
0.750000,24.000000,0.000000,0.000000,0.000000,0
0.760000,24.000000,0.000000,0.000000,0.000000,0
0.770000,24.000000,0.000000,0.000000,0.000000,0
0.780000,24.000000,0.000000,0.000000,0.000000,0
0.790000,24.000000,0.000000,0.000000,0.000000,0
0.800000,24.000000,0.000000,0.000000,0.000000,0
0.810000,24.000000,0.000000,0.000000,0.000000,0
0.820000,24.000000,0.000000,0.000000,0.000000,0
0.830000,24.000000,0.000000,0.000000,0.000000,0
0.840000,24.000000,0.000000,0.000000,0.000000,0
0.850000,24.000000,0.000000,0.000000,0.000000,0
0.860000,24.000000,0.000000,0.000000,0.000000,0
0.870000,24.000000,0.000000,0.000000,0.000000,0
0.880000,24.000000,0.000000,0.000000,0.000000,0
0.890000,24.000000,0.000000,0.000000,0.000000,0
0.900000,24.000000,0.000000,0.000000,0.000000,0
0.910000,24.000000,0.000000,0.000000,0.000000,0
0.920000,24.000000,0.000000,0.000000,0.000000,0
0.930000,24.000000,0.000000,0.000000,0.000000,0
0.940000,24.000000,0.000000,0.000000,0.000000,0
0.950000,24.000000,0.000000,0.000000,0.000000,0
0.960000,24.000000,0.000000,0.000000,0.000000,0
0.970000,24.000000,0.000000,0.000000,0.000000,0
0.980000,24.000000,0.000000,0.000000,0.000000,0
0.990000,24.000000,0.000000,0.000000,0.000000,0
1.000000,24.000000,0.000000,0.000000,0.000000,0
